Document,Dominant Topic,Probability,Original Text
718,10,0.33108932,did you know boschrexroths aluminum structural framing is designed for change? our versatile framing is pre-engineered to easily change from a workstation to a cart or even to a flow rack. 
719,8,0.2818774,"Revolutionize your production and achieve a completely new level of automation thanks to smartflexeffector from Bosch Rexroth.The compensation module based on sensors gives robots a sensitivity similar to human, and thus opens new areas of application in factory automation.Processes that are difficult to control can be automated, optimized and monitored by simple retrofitting in Smart Flex Effector.🔎 Look for yourself: "
720,1,0.25701657,"Did you know that Bosch is a pioneer and market leader in the field of micro -electromechanical (MEMS) sensors - one of the most important and most used sensor types today?Since Bosch started its production 27 years ago, they have already produced more than 18 billion MEMS sensors in total!"
721,10,0.35612044,"What benefits can technology bring your life?This question is part of the BoschtechCompass2023.It turns out: in addition to a more comfortable life and more safety, no less than 50% of the participants agree that technology can help improve our health.More information about the TechCompass and future technologies: "
722,10,0.31100875,"with over 225 years of engineering expertise, boschrexroth has a vision for what it takes to move factory automation forward: harmonized, customized, complete solutions. watch the video to see how our solutions can work for you. completeautomation "
723,10,0.2922523,"you want to set up an electromechanical actuator from boschrexroth? in this how-to video, youll learn how to quickly set the zero point. whether its the electromechanical cylinder emc or the emc-hp heavy-duty variant, the steps are the same. watch now and save time in engineering. more information about our actuators also on our website: "
724,10,0.1995546,"Do you already know the 𝐄𝐥𝐞𝐤𝐭𝐫𝐨 𝐀𝐜𝐭𝐮𝐚𝐭𝐨𝐫 𝐀𝐜𝐭𝐮𝐚𝐭𝐨𝐫 (EHA)?This plug-and-play solution is more compact and energy technically better than traditional systems.ℹ️ Want to know more about this sustainable innovation?Check it on 𝐬𝐭𝐚𝐧𝐝 𝟏 𝟏 𝟐𝟐𝟓 During the Infratech Trade Fair!𝐈𝐧𝐟𝐫𝐚𝐓𝐞𝐜𝐡 𝟐𝟎𝟐𝟑 📅 17 to 20 January 2023 📍 Ahoy, Rotterdam ➡️ 𝐬𝐭𝐚𝐧𝐝𝐧𝐮𝐦𝐦𝐞𝐫 𝟏 𝟏 𝟐𝟐𝟓 𝐑𝐞𝐠𝐢𝐬𝐭𝐫𝐞𝐫𝐞𝐧 𝐑𝐞𝐠𝐢𝐬𝐭𝐫𝐞𝐫𝐞𝐧 🎫 🎫: "
725,11,0.21148713,"Choose the compact hydraulic motor with maximum power!Hägglunds atom provides a maximum of 394 kW of power, leaving behind other motors in its class."
726,10,0.21312484,"Now that 2022 is over, we look forward to what 2023 has to offer!✨ We wish you all a good continuation of the new year and hope to see you - both physically and digitally - this year!We have a lot of exciting going on at Bosch Rexroth Sweden and we are really tagged!wemoveyouwin boschrexroth newyearnewpossibilties 2023"
727,11,0.30367926,Our extensive range of services offers everything you need to maintain and optimize your Hägglunds systems.Enable your drive system with a smooth start to the year with the certified Hägglunds service to secure availability and optimize your production.Your Hägglunds original service contact person can be found at 
728,11,0.24338777,hägglunds newest product wins industry recognition! the fusion - a powerful drive system that mounts directly on the drive shaft was named a 2022 innovation award winner from new equipment digest - hydraulics & pneumatics category! congratulations! rexroth hägglundstothecore hägglundsdrives 
729,10,0.31704077,"kickstart the new year by upskilling you and your team on i4.0 related topics @ bosch rexroth regional training centre (brrtc)! new training course runs for 2023 have been updated. there will also be other new courses coming soon, stay tuned for more updates! - industry specialist ahk i4.0 - practical approach of open software controllers in advanced manufacturing - essentials of basic networking, database and web applications for advanced manufacturing - practical applications for condition monitoring for industry 4.0 - industry 4.0 for advanced manufacturing with industry application - data-driven connected hydraulics in advanced manufacturing – new! - implementing automation technologies in smart factory – new! want to find out more about our training courses? visit us: "
730,1,0.28559068,"☑️ On the right track with remotely managed efficient tool carrier.Sweeping, mowing and sprinkling can be milieval and quiet with the electric vehicles from Alltrec.Since this manufacturer uses a complete telematics solution from Bosch Rexroth, the tool carriers can also be managed remotely.As a result: even more efficiency and ease of use.And the great thing is: the developments are certainly not yet standing still.ℹ️ Want to know more about this collaboration?Read the full article on the Bosch Rexroth blog!📝"
731,10,0.28352603,Would you like to put an electromechanical aktuator from boschrexroth into operation?In this how-to-video you will learn how to set the zero point quickly.Whether with the electromechanical cylinder EMC or the heavy load variant EMC-HP-the steps are the same.View now and save a lot of time in engineering.Lineartechnik electromechanical cylinder 
732,10,0.25323284,"have you had a good start to the new year? for an easy way to get back into the rokit portfolio, we provide you with our latest, so far exclusive roboticswebcast. sit back and take a look: "
733,10,0.24863395,Did you start the new year well?For a simple introduction back to the .Lean back and take a look: 
734,10,0.24081965,🔝 With your  - today presented by our certified partner  from Pulheim.
735,11,0.22473319,were proud to announce the  
736,10,0.18797317,"where traditional conveyor systems reach their limits, the  "
737,11,0.20136625,"extrusion presses with decades-old hydraulics can lose money every time the press runs. if youre finding your maintenance costs are getting excessive, bosch  "
738,10,0.19327022,"This week, dr inż.Jacek Skudlarski with his students from .Guests got acquainted with our solutions in the field of automation and robotics in the Factory of the Future laboratory.We encourage you to sign up for a visit or for a virtual walk and know the concept of industry 4.0 on our website!"
739,10,0.3043995,"𝐖𝐢𝐣 𝐳𝐢𝐣𝐧 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣!𝐉𝐢𝐣 𝐨𝐨𝐤?During the   we would like to get to know the 𝐂𝐲𝐭𝐫𝐨𝐂𝐨𝐧𝐧𝐞𝐜𝐭 𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬 and 𝐇𝐲𝐝𝐫𝐚𝐮𝐥𝐢𝐬𝐜𝐡𝐞 𝐀𝐜𝐭𝐮𝐚𝐭𝐨𝐫 𝐀𝐜𝐭𝐮𝐚𝐭𝐨𝐫 𝐀𝐜𝐭𝐮𝐚𝐭𝐨𝐫 𝐀𝐜𝐭𝐮𝐚𝐭𝐨𝐫.Did you know that our colleagues from 𝐇𝐚𝐜𝐨𝐮𝐬𝐭𝐨 𝐏𝐫𝐨𝐭𝐞𝐜 𝐏𝐫𝐨𝐭𝐞𝐜 - part of Bosch Building Solutions - can also be found on the stand?Hacousto Protec is working today on tomorrows security and safety solutions.𝐈𝐧𝐟𝐫𝐚𝐓𝐞𝐜𝐡 𝟐𝟎𝟐𝟑: 𝐖𝐢𝐣 𝐳𝐢𝐣𝐧 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣𝐉𝐢𝐣 𝐨𝐨𝐤?📅 17 to 20 January 2023 📍 Ahoy, Rotterdam ➡️ 𝐬𝐭𝐚𝐧𝐝𝐧𝐮𝐦𝐦𝐞𝐫 𝟏 𝟏 𝐑𝐞𝐠𝐢𝐬𝐭𝐫𝐞𝐫𝐞𝐧 𝐑𝐞𝐠𝐢𝐬𝐭𝐫𝐞𝐫𝐞𝐧 🎫 🎫 🎫: "
